name,script,time
상황,- 다음 날 오전 -,1
주인공,안녕하세요. 인사드렸던 1팀 조장 주인공입니다.,1
재혁,어 반갑다. 난 누군지 다 알지?,1
세민,선배님 안녕하세용ㅎㅎ,1
재혁,어 그래ㅎ,1
주인공,저희 3주차 수업 내용을 바탕으로<br>발표를 준비해야 합니다!,1
주인공,각자 필기한 내용 올려주시면 감사하겠습니다.,1
세민,넵 누낭,1
재혁,그래. 확인해야하니까 다들 올려봐.,1
주인공,선배도 올리셔야죠.,1
재혁,야 이런 건 원래 새내기들이<br>빠릿하게 딱 올려 놓는 거야.,1
재혁,으이그 학생회도 했던 애가<br>그런 기본도 안 되어있으면 어떡해?,1
주인공,다 같이 준비하는데 선배고 후배고가 어딨어요.,1
주인공,각자 놓친 부분이 있으면 서로<br>보완해줘야 하니까 그냥 올려주세요.,1
재혁,옛날에는 꼬박 꼬박<br>선배님~ 선배님~ 하더니..,1
재혁,애가 왜이렇게 융통성이 없어졌어?<br>어우 말투 차가운 거 봐.,1
재혁,인공이 나 없는 동안 남자한테 인기 없었지ㅎ,1
세민,에이 인공이누나 남자한테<br>인기 많으셨을 것 같은데 왜 그러세요.,1
